city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
gennevilliers,29416,222,48.9333,2.3,0.44707706935446634,33.75
alleins,2018,12,43.7039,5.1617,0.4454055646432904,72.5
st chamas,6249,32,43.5503,5.0347,0.4453327295736056,65.83333333333333
peyrins,2192,9,45.0931,5.0472,0.4406245903263084,72.0
mallemort,5049,36,43.7308,5.1794,0.43975965125017646,66.75
meyrargues,2675,19,43.6356,5.5283,0.4394606410032029,64.66666666666667
laverune,2559,6,43.5856,3.8056,0.43903496479992965,64.0
ensues la redonne,4442,21,43.3558,5.2042,0.4387366105795225,75.41666666666666
pignan,5274,16,43.5842,3.7619,0.4386081621549369,67.33333333333333
pertuis,15370,40,43.695,5.5036,0.4381105663986018,58.083333333333336
montreuil,41567,190,48.8611,2.4436,0.4364674757211806,50.58333333333333
strasbourg,129584,854,48.5833,7.7458,0.43511370713477904,39.25
champigny sur marne,34576,158,48.8172,2.5156,0.43441606083982753,50.083333333333336
chateaugay,2810,14,45.8511,3.0847,0.4338411440228045,79.25
cebazat,6367,22,45.8314,3.1,0.43241293318177165,68.16666666666666
gardanne,16370,84,43.4553,5.476,0.43116303392497235,63.58333333333333
ste soulle,3674,13,46.1861,-1.0119,0.42858406866619925,76.16666666666666
houplines,5099,13,50.6908,2.9092,0.42756836974607104,60.83333333333333
le cendre,3888,6,45.7225,3.1872,0.42673202920575815,73.33333333333333
blanzat,2844,3,45.8297,3.0781,0.4252350614520979,74.33333333333334
tomblaine,5381,21,48.6856,6.2117,0.4248710455292892,59.16666666666667
roche la moliere,7202,10,45.4339,4.3236,0.4231442880918328,68.0
jarville la malgrange,4513,12,48.6694,6.2061,0.42207048763044197,38.083333333333336
